country_region_code,country_region,sub_region_1,sub_region_2,metro_area,PHU,popshare,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-28,-23,-4,,-31,-43,13
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-29,-22,0,,-12,-40,11
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-30,-25,-2,,0,-9,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-31,-24,-13,,-15,-12,3
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-01,-12,1,,-23,-39,9
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-02,-11,3,,-13,-40,10
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-03,-16,4,,-20,-39,9
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-04,-14,4,,-18,-39,9
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-05,-25,-2,,-17,-38,10
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-06,-25,-5,,0,-13,3
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-07,-21,-14,,-17,-14,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-08,-10,4,,-20,-38,9
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-09,-11,2,,-13,-37,7
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-10,-13,6,,-13,-38,11
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-11,-12,7,,-27,-38,11
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-12,-18,1,,-22,-36,10
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-13,-19,-1,,3,-3,2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-14,-11,-8,,-13,-9,-1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-15,-2,11,,-21,-36,7
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-16,-1,11,,-9,-34,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-17,-7,10,,-15,-35,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-18,-4,16,,-15,-34,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-19,-12,9,,-7,-35,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-20,-16,11,,1,-2,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-21,-10,1,,-17,1,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-22,-5,8,,-25,-39,8
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-23,-14,2,,-29,-40,11
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-24,-12,11,,-24,-35,10
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-25,0,19,,-12,-35,7
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-26,-13,9,,-9,-34,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-27,-13,9,,5,-7,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-28,-11,-1,,-6,-3,-3
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-29,5,15,,-11,-37,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-06-30,23,40,,-1,-36,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-01,-51,-49,,-28,-65,7
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-02,5,23,,-16,-39,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-03,-8,7,,-8,-41,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-04,-15,1,,9,-3,-2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-05,-5,-5,,-12,-6,-3
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-06,0,9,,-16,-38,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-07,3,15,,0,-36,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-08,2,12,,-8,-35,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-09,3,11,,-16,-36,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-10,-11,7,,-18,-37,8
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-11,-13,4,,4,-2,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-12,-8,-9,,-15,-5,-1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-13,4,6,,-19,-37,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-14,1,5,,-12,-37,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-15,-4,9,,-20,-36,8
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-16,0,13,,-10,-35,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-17,-14,-2,,-10,-34,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-18,-16,-1,,8,-6,3
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-19,-6,-7,,-13,-9,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-20,5,7,,-15,-35,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-21,2,4,,-8,-35,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-22,-3,4,,-26,-35,8
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-23,2,8,,-11,-34,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-24,-11,1,,-7,-34,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-25,-12,-1,,3,-3,-2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-26,-4,-8,,-14,-11,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-27,6,5,,-10,-39,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-28,4,10,,-6,-36,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-29,5,12,,-19,-36,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-30,12,17,,-6,-37,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-07-31,3,13,,-11,-37,2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-01,-3,6,,16,-8,-3
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-02,9,3,,7,-8,-2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-03,-19,-30,,-35,-68,9
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-04,15,19,,-1,-39,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-05,13,21,,-8,-37,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-06,12,17,,-10,-37,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-07,-5,2,,-7,-38,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-08,-6,3,,6,-9,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-09,5,-7,,-12,-11,-2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-10,11,10,,-17,-38,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-11,11,10,,-8,-36,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-12,5,10,,-8,-36,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-13,6,11,,-5,-36,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-14,-8,2,,-6,-36,3
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-15,-7,4,,10,-7,-1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-16,2,-5,,3,-4,-3
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-17,10,10,,,-38,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-18,12,15,,,-34,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-19,2,4,,,-35,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-20,12,11,,,-36,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-21,-3,-4,,,-35,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-22,-3,2,,,-7,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-23,4,-8,,,-8,-2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-24,10,5,,,-36,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-25,11,4,,,-33,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-26,3,0,,,-35,7
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-27,13,15,,,-33,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-28,-3,2,,,-33,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-29,4,13,,,-6,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-30,9,-3,,,-7,-3
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-08-31,19,13,,,-35,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-01,20,14,,,-32,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-02,11,13,,,-32,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-03,11,15,,,-33,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-04,6,14,,,-36,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-05,4,11,,,-7,-2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-06,18,9,,,-13,-1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-07,-38,-54,,,-72,11
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-08,27,34,,,-35,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-09,13,19,,,-33,7
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-10,17,24,,,-33,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-11,-4,1,,-7,-31,3
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-12,-8,3,,-3,-6,2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-13,-3,-5,,-10,-7,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-14,4,8,,-13,-28,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-15,5,10,,-12,-27,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-16,-4,5,,-11,-27,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-17,1,6,,-10,-28,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-18,-5,1,,-9,-26,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-19,-7,1,,-5,-7,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-20,0,-6,,-7,-8,-1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-21,0,5,,-15,-29,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-22,-2,1,,-7,-27,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-23,-7,1,,-18,-27,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-24,-6,8,,-27,-27,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-25,-13,-2,,-21,-29,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-26,-12,-1,,-5,-4,2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-27,-9,-8,,-22,-10,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-28,-4,2,,-25,-28,7
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-29,-1,3,,-19,-26,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-09-30,-3,6,,-22,-26,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-01,0,12,,-21,-24,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-02,-11,0,,-24,-24,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-03,-7,4,,-7,-3,2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-04,-4,-4,,-11,-12,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-05,1,9,,-16,-27,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-06,-1,7,,-15,-25,5
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-07,-7,9,,-25,-25,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-08,-4,15,,-24,-25,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-09,-11,6,,-21,-25,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-10,-10,13,,-8,-4,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-11,-14,-4,,-26,-11,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-12,-64,-69,,-55,-73,15
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-13,-3,12,,-29,-25,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-14,-8,2,,-30,-24,8
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-15,-4,6,,-35,-23,7
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-16,-12,-1,,-24,-22,8
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-17,-11,-3,,-21,-1,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-18,-13,-12,,-24,-10,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-19,-6,0,,-29,-25,7
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-20,0,7,,-22,-23,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-21,-7,-1,,-29,-23,7
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-22,-4,5,,-28,-22,8
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-23,-14,-2,18,-27,-22,9
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-10-24,-10,1,,-19,-3,3
